Name,Price ($),Quantity,Volume (mL),ABV (%),Container,Type,Cost per mL of Alcohol ($),Cost per Unit ($),Total Volume (mL),Total Alcohol Content (mL)
Old Milwaukee Ice,12.95,6,473,5.5,Can,Lager,0.083,2.158,2838,156.09
Moosehead Chelada,17.45,6,473,4.0,Can,Lager,0.154,2.908,2838,113.52
Wellington Brewery Helles Lager,3.55,1,473,4.5,Can,Lager,0.167,3.55,473,21.285
Red Stripe Lager,15.9,6,330,5.0,Bottle,Lager,0.161,2.65,1980,99.0
Michelob Ultra,3.3,1,473,4.0,Can,Lager,0.174,3.3,473,18.92
Modelo Especial,3.75,1,473,4.5,Can,Lager,0.176,3.75,473,21.285
Molson Canadian,2.9,1,473,5.0,Can,Lager,0.123,2.9,473,23.65
Miller Genuine Draft,18.5,6,473,4.7,Can,Lager,0.139,3.083,2838,133.386
Muskoka Craft Lager,3.65,1,473,4.8,Can,Lager,0.161,3.65,473,22.704
Molson Canadian,13.95,6,355,5.0,Can,Lager,0.131,2.325,2130,106.5
Miller High Life,13.45,6,473,4.6,Can,Lager,0.103,2.242,2838,130.548
Michelob Ultra,14.95,6,355,4.0,Can,Lager,0.175,2.492,2130,85.2
Madri Excepcional,19.95,6,473,4.6,Can,Lager,0.153,3.325,2838,130.548
Steam Whistle Premium Pilsner,17.95,6,341,5.0,Bottle,Lager,0.175,2.992,2046,102.3
Laker Premium Lager,2.2,1,473,5.0,Can,Lager,0.093,2.2,473,23.65
Side Launch Northbound Lager,3.1,1,473,4.4,Can,Lager,0.149,3.1,473,20.812
Miller Lite,14.95,6,355,4.0,Can,Lager,0.175,2.492,2130,85.2
Old Milwaukee,12.95,6,473,4.9,Can,Lager,0.093,2.158,2838,139.062
Lezajsk Beer,2.95,1,500,5.3,Can,Lager,0.111,2.95,500,26.5
Steam Whistle Premium Pilsner,20.25,6,473,5.0,Can,Lager,0.143,3.375,2838,141.9
Kozel Beer,2.95,1,500,4.7,Can,Lager,0.126,2.95,500,23.5
Old Milwaukee,2.35,1,473,4.9,Can,Lager,0.101,2.35,473,23.177
Miller Genuine Draft,15.5,6,355,4.7,Bottle,Lager,0.155,2.583,2130,100.11
Molson Cold Shots 6.0,2.5,1,473,6.0,Can,Lager,0.088,2.5,473,28.38
Molson Cold Shots 6.0,5.0,4,222,6.0,Can,Lager,0.094,1.25,888,53.28
Mill Street 100th Meridian Organic Amber Lager,3.7,1,473,5.0,Can,Lager,0.156,3.7,473,23.65
Samuel Adams Boston Lager,3.35,1,473,4.8,Can,Lager,0.148,3.35,473,22.704
Old Style Pilsner,2.35,1,473,5.0,Can,Lager,0.099,2.35,473,23.65
Peroni Nastro Azzurro,3.6,1,500,5.1,Can,Lager,0.141,3.6,500,25.5
Mill Street Original Organic Lager,16.25,6,355,4.2,Can,Lager,0.182,2.708,2130,89.46
Laker Ice,13.45,6,473,5.5,Can,Lager,0.086,2.242,2838,156.09
Lech Beer,2.9,1,500,5.0,Can,Lager,0.116,2.9,500,25.0
Moosehead Lager,3.0,1,473,5.0,Can,Lager,0.127,3.0,473,23.65
Mill Street Original Organic Lager,3.35,1,473,4.2,Can,Lager,0.169,3.35,473,19.866
Laker Red,2.35,1,473,5.5,Can,Lager,0.09,2.35,473,26.015
Labatt Blue,2.2,1,473,5.0,Can,Lager,0.093,2.2,473,23.65
Lake of the Woods Lago Cerveza Mexican Style Lager,3.45,1,473,4.0,Can,Lager,0.182,3.45,473,18.92
Laker  Ice,2.35,1,473,5.5,Can,Lager,0.09,2.35,473,26.015
Pabst Blue Ribbon,2.35,1,473,5.0,Can,Lager,0.099,2.35,473,23.65
Mill Street Original Organic Lager,19.95,6,473,4.2,Can,Lager,0.167,3.325,2838,119.196
Molson Ultra,18.5,6,473,3.0,Can,Lager,0.217,3.083,2838,85.14
Michelob Ultra,17.95,6,473,4.0,Can,Lager,0.158,2.992,2838,113.52
Hofbrau Original Lager,3.95,1,500,5.1,Bottle,Lager,0.155,3.95,500,25.5
Hollandia Lager Beer,2.7,1,500,5.0,Can,Lager,0.108,2.7,500,25.0
Hop City Barking Squirrel Lager,3.6,1,473,4.8,Can,Lager,0.159,3.6,473,22.704
Mill Street Original Organic Lager,16.95,6,341,4.2,Bottle,Lager,0.197,2.825,2046,85.932
Holsten Maibock,2.9,1,473,7.0,Can,Lager,0.088,2.9,473,33.11
Miller High Life,10.95,6,355,4.6,Bottle,Lager,0.112,1.825,2130,97.98
Hollandia Lager,10.5,4,500,5.0,Can,Lager,0.105,2.625,2000,100.0
Heineken,3.75,1,500,4.7,Can,Lager,0.16,3.75,500,23.5
Moosehead Lager,17.45,6,473,5.0,Can,Lager,0.123,2.908,2838,141.9
Pabst Blue Ribbon 5.9%,13.45,6,473,5.9,Can,Lager,0.08,2.242,2838,167.442
Grolsch Premium Pilsner,2.95,1,473,5.0,Can,Lager,0.125,2.95,473,23.65
Miller Lite,17.95,6,473,4.0,Can,Lager,0.158,2.992,2838,113.52
Grolsch Premium Pilsner,16.95,6,473,5.0,Can,Lager,0.119,2.825,2838,141.9
Molson Canadian,14.75,6,341,5.0,Bottle,Lager,0.144,2.458,2046,102.3
Moosehead Lager,15.95,6,341,5.0,Bottle,Lager,0.156,2.658,2046,102.3
Heineken,20.5,6,500,5.0,Can,Lager,0.137,3.417,3000,150.0
Cowbell Brewing Co. Cencerro Cerveza Mexican Lager,10.95,4,355,4.5,Can,Lager,0.171,2.738,1420,63.9
DAB Maibock,2.95,1,500,7.0,Can,Lager,0.084,2.95,500,35.0
Creemore Springs Helles Light Lager,3.45,1,473,3.7,Can,Lager,0.197,3.45,473,17.501
Creemore Springs Premium Lager,19.95,6,473,5.0,Can,Lager,0.141,3.325,2838,141.9
Coors Light,14.75,6,341,4.0,Bottle,Lager,0.18,2.458,2046,81.84
Creemore Springs Premium Lager,3.6,1,473,5.0,Can,Lager,0.152,3.6,473,23.65
Kostritzer Schwartzbier,3.2,1,500,4.8,Can,Lager,0.133,3.2,500,24.0
Cracked Canoe,17.45,6,473,3.5,Can,Lager,0.176,2.908,2838,99.33
Lowenbrau Original,2.35,1,473,5.2,Can,Lager,0.096,2.35,473,24.596
Dos Equis Lager,17.95,6,355,4.5,Bottle,Lager,0.187,2.992,2130,95.85
Landshark Lager,17.4,6,473,4.6,Can,Lager,0.133,2.9,2838,130.548
Bud Light,2.9,1,473,4.0,Can,Lager,0.153,2.9,473,18.92
Budweiser,16.95,6,473,5.0,Can,Lager,0.119,2.825,2838,141.9
Labatt BLue,12.95,6,473,5.0,Can,Lager,0.091,2.158,2838,141.9
Coors Original,3.15,1,473,5.0,Can,Lager,0.133,3.15,473,23.65
DAB Ultimate,17.95,6,500,4.0,Can,Lager,0.15,2.992,3000,120.0
Busch Lager,13.45,6,473,4.7,Can,Lager,0.101,2.242,2838,133.386
Coors Original,18.5,6,473,5.0,Can,Lager,0.13,3.083,2838,141.9
James Ready 5.5,13.95,6,473,5.5,Can,Lager,0.089,2.325,2838,156.09
Coors Light,16.95,6,473,4.0,Can,Lager,0.149,2.825,2838,113.52
Corona,17.5,6,355,4.6,Can,Lager,0.179,2.917,2130,97.98
Kingfisher Lager,2.65,1,330,4.5,Bottle,Lager,0.178,2.65,330,14.85
Heineken Keg,41.25,1,5000,5.0,Can,Lager,0.165,41.25,5000,250.0
Great Lakes Brewery Lager,2.9,1,473,5.0,Can,Lager,0.123,2.9,473,23.65
Asahi Super Dry,3.45,1,500,5.0,Can,Lager,0.138,3.45,500,25.0
Heineken,38.95,12,500,5.0,Can,Lager,0.13,3.246,6000,300.0
Corona Light,16.95,6,330,3.4,Bottle,Lager,0.252,2.825,1980,67.32
Henderson's FIGO Italian Pilsner,3.8,1,473,5.5,Can,Lager,0.146,3.8,473,26.015
Amstel Ultra,15.25,6,355,3.8,Can,Lager,0.188,2.542,2130,80.94
Golden Pheasant Beer,3.2,1,500,4.6,Bottle,Lager,0.139,3.2,500,23.0
Hacker Pschorr Munich Gold Lager,2.75,1,500,5.5,Can,Lager,0.1,2.75,500,27.5
Asahi Super Dry,15.95,6,330,5.0,Bottle,Lager,0.161,2.658,1980,99.0
Estrella Damm Lager,3.6,1,500,5.4,Can,Lager,0.133,3.6,500,27.0
Bud Light,13.95,6,355,4.0,Can,Lager,0.164,2.325,2130,85.2
Carling,13.45,6,473,4.9,Can,Lager,0.097,2.242,2838,139.062
Carling Ice,2.35,1,473,5.5,Can,Lager,0.09,2.35,473,26.015
Busch Ice,2.35,1,473,5.5,Can,Lager,0.09,2.35,473,26.015
Carlsberg Lite,2.85,1,473,4.0,Can,Lager,0.151,2.85,473,18.92
Bud Light,15.95,6,473,4.0,Can,Lager,0.141,2.658,2838,113.52
DAB Original,2.75,1,500,5.0,Can,Lager,0.11,2.75,500,25.0
Budweiser,2.7,1,473,5.0,Can,Lager,0.114,2.7,473,23.65
Carlsberg,2.95,1,473,5.0,Can,Lager,0.125,2.95,473,23.65
Blood Brothers Blood Light,4.5,1,473,4.0,Can,Lager,0.238,4.5,473,18.92
DAB Original,15.95,6,500,5.0,Can,Lager,0.106,2.658,3000,150.0
Busch Ice,13.45,6,473,5.5,Can,Lager,0.086,2.242,2838,156.09
Corona Extra,19.95,6,473,4.6,Can,Lager,0.153,3.325,2838,130.548
Creemore Springs Premium Lager,14.95,6,355,5.0,Can,Lager,0.14,2.492,2130,106.5
Coors Light,2.9,1,473,4.0,Can,Lager,0.153,2.9,473,18.92
Cowbell Brewing Co. Smooth Sailing Light Lager,3.5,1,473,4.0,Can,Lager,0.185,3.5,473,18.92
Coors Light,13.95,6,355,4.0,Can,Lager,0.164,2.325,2130,85.2
Beyond the Pale Clean Cut,3.65,1,473,5.0,Can,Lager,0.154,3.65,473,23.65
Big Rig Hola Cerveza,2.75,1,473,4.7,Can,Lager,0.124,2.75,473,22.231
Creemore Springs Lot 9 Pilsner,3.6,1,473,4.7,Can,Lager,0.162,3.6,473,22.231
Coronita Extra,9.95,6,207,4.6,Bottle,Lager,0.174,1.658,1242,57.132
Czechvar Premium Lager,3.2,1,500,5.0,Can,Lager,0.128,3.2,500,25.0
Cowbell Brewing Co. Shindig Lager,3.5,1,473,4.2,Can,Lager,0.176,3.5,473,19.866
Busch Light,13.45,6,473,4.0,Can,Lager,0.118,2.242,2838,113.52
St. Andre Bohemian Lager,2.2,1,473,4.6,Can,Lager,0.101,2.2,473,21.758
Beck's,3.65,1,500,5.0,Can,Lager,0.146,3.65,500,25.0
Carlsberg Lite,11.2,4,473,4.0,Can,Lager,0.148,2.8,1892,75.68
Crest Super Lager,4.2,1,500,10.0,Can,Lager,0.084,4.2,500,50.0
Bavaria 8.6 Original+,3.7,1,500,8.2,Can,Lager,0.09,3.7,500,41.0
Busch,10.95,6,355,4.7,Can,Lager,0.109,1.825,2130,100.11
Blood Brothers Mighty Eagle Lager,3.75,1,473,4.5,Can,Lager,0.176,3.75,473,21.285
Busch Lager,2.35,1,473,4.7,Can,Lager,0.106,2.35,473,22.231
Budweiser,14.75,6,341,5.0,Bottle,Lager,0.144,2.458,2046,102.3
Budweiser,13.95,6,355,5.0,Can,Lager,0.131,2.325,2130,106.5
Burdock Brewery Deluxe,4.5,1,473,4.5,Can,Lager,0.211,4.5,473,21.285
Big Rig Premium Pilsner,3.25,1,473,5.2,Can,Lager,0.132,3.25,473,24.596
Bobcaygeon Brewing Cottage Lager,3.5,1,473,5.0,Can,Lager,0.148,3.5,473,23.65
Birra Moretti,3.6,1,500,4.6,Can,Lager,0.157,3.6,500,23.0
Busch Light,2.35,1,473,4.0,Can,Lager,0.124,2.35,473,18.92
Bavaria Premium,2.75,1,500,5.0,Can,Lager,0.11,2.75,500,25.0
Bavaria Premium,15.95,6,500,5.0,Can,Lager,0.106,2.658,3000,150.0
Bellwoods Brewery Ultra,3.5,1,473,4.0,Can,Lager,0.185,3.5,473,18.92
Ace Hill Mexican Style Lager,14.95,6,355,4.0,Can,Lager,0.175,2.492,2130,85.2
Georgian Bay Dipper,3.15,1,473,5.0,Can,Lager,0.133,3.15,473,23.65
Fix Hellas Premium Lager,2.95,1,330,5.0,Bottle,Lager,0.179,2.95,330,16.5
Daura Damm,16.7,6,330,5.4,Bottle,Lager,0.156,2.783,1980,106.92
Hockley Classic,3.15,1,473,5.0,Can,Lager,0.133,3.15,473,23.65
Left Field Brewery Bird Watcher,3.1,1,355,4.2,Can,Lager,0.208,3.1,355,14.91
Crank Lite Lager,2.85,1,473,4.0,Can,Lager,0.151,2.85,473,18.92
Newark Helles Lager,2.85,1,473,5.0,Can,Lager,0.121,2.85,473,23.65
Trestle Brewing Rust Never Sleeps Marzenbier,3.5,1,473,5.4,Can,Lager,0.137,3.5,473,25.542
Sawdust City Sagemehl Stadt Festbier,3.95,1,473,5.7,Can,Lager,0.147,3.95,473,26.961
Weir Beer by Shawn & Ed Brewing Company,13.95,4,473,3.9,Can,Lager,0.189,3.488,1892,73.788
Mill Street Organic Lager,52.95,24,355,4.2,Can,Lager,0.148,2.206,8520,357.84
The Napanee Beer Company Good Damage Mexican Dark Lager,3.6,1,473,5.0,Can,Lager,0.152,3.6,473,23.65
Parsons Brewing Soft Hues Dry Hopped Lager,4.35,1,473,5.1,Can,Lager,0.18,4.35,473,24.123
Bellwoods Bellweiser Pilsner,4.5,1,473,4.8,Can,Lager,0.198,4.5,473,22.704
Anderson Ale's Summer Pilsner,15.45,6,355,5.0,Can,Lager,0.145,2.575,2130,106.5
Willibald Lager,4.0,1,473,6.5,Can,Lager,0.13,4.0,473,30.745
Whitewater Brewing Last Light Lager,3.25,1,473,4.0,Can,Lager,0.172,3.25,473,18.92
Zubr,2.95,1,500,5.7,Can,Lager,0.104,2.95,500,28.5
Warsteiner Premium Pilsener,2.95,1,500,4.8,Can,Lager,0.123,2.95,500,24.0
Stella Artois,32.5,12,330,5.0,Bottle,Lager,0.164,2.708,3960,198.0
TOOTH AND NAIL VIM & VIGOR PILSNER,3.5,1,355,5.2,Can,Lager,0.19,3.5,355,18.46
Whitewater Brewing Co. Legion Lager,3.65,1,473,5.0,Can,Lager,0.154,3.65,473,23.65
Tecate,3.4,1,473,4.5,Can,Lager,0.16,3.4,473,21.285
Stone House Premium Czech Pilsner,3.75,1,473,5.0,Can,Lager,0.159,3.75,473,23.65
Shawn & Ed Brewing Company Salted Lime Cerveza,3.5,1,473,4.0,Can,Lager,0.185,3.5,473,18.92
Sleeman Clear 2.0,27.5,12,355,4.0,Can,Lager,0.161,2.292,4260,170.4
Thornbury Blue Mountain Light Lager,3.25,1,473,4.0,Can,Lager,0.172,3.25,473,18.92
Sol,14.95,6,330,4.5,Bottle,Lager,0.168,2.492,1980,89.1
Sleeman Clear 2.0,58.95,30,355,4.0,Can,Lager,0.138,1.965,10650,426.0
Something in the water Liberty's Farm to Glass Pilsner,3.95,1,568,4.5,Can,Lager,0.155,3.95,568,25.56
Sons of Kent Flywheel Blonde Lager,3.3,1,473,4.5,Can,Lager,0.155,3.3,473,21.285
Waterloo Premium Amber,3.25,1,473,6.8,Can,Lager,0.101,3.25,473,32.164
Paulaner Munich Helles,2.8,1,500,4.9,Can,Lager,0.114,2.8,500,24.5
Quayle's Brewery Line 12 Helles Lager,3.45,1,473,5.0,Can,Lager,0.146,3.45,473,23.65
Pabst Blue Ribbon,25.95,12,473,4.9,Can,Lager,0.093,2.162,5676,278.124
Pabst Blue Ribbon,10.95,6,355,5.0,Can,Lager,0.103,1.825,2130,106.5
Miller High Life,49.95,30,355,4.6,Can,Lager,0.102,1.665,10650,489.9
Tennent's Export Lager,3.25,1,500,5.0,Can,Lager,0.13,3.25,500,25.0
Mascot Brewery Lightweight Lager,2.95,1,473,4.0,Can,Lager,0.156,2.95,473,18.92
Michelob Ultra,29.95,12,355,4.0,Can,Lager,0.176,2.496,4260,170.4
Tiger Beer,3.4,1,500,5.0,Can,Lager,0.136,3.4,500,25.0
Old Milwaukee Ice,3.3,1,710,5.5,Can,Lager,0.085,3.3,710,39.05
Old Vienna Lager,13.45,6,473,5.0,Can,Lager,0.095,2.242,2838,141.9
Muskoka Tread Lightly,3.25,1,568,4.0,Can,Lager,0.143,3.25,568,22.72
Muddy York Una Mas Mexican Lager,3.75,1,473,4.6,Can,Lager,0.172,3.75,473,21.758
Muskoka Tread Lightly,17.95,6,473,4.0,Can,Lager,0.158,2.992,2838,113.52
Old Flame Brunette Munich Dunkel,3.5,1,473,4.6,Can,Lager,0.161,3.5,473,21.758
Spearhead Brewing Decoy,3.25,1,473,4.0,Can,Lager,0.172,3.25,473,18.92
Walkerville Honest Lager,3.4,1,473,5.0,Can,Lager,0.144,3.4,473,23.65
Molson Canadian,27.95,12,341,5.0,Bottle,Lager,0.137,2.329,4092,204.6
Michelob Ultra,58.95,30,355,4.0,Can,Lager,0.138,1.965,10650,426.0
Old Milwaukee Ice,2.35,1,473,5.5,Can,Lager,0.09,2.35,473,26.015
Spaten,2.5,1,473,5.2,Can,Lager,0.102,2.5,473,24.596
Split Rail Brewing Co. Copper Lager,3.75,1,473,5.0,Can,Lager,0.159,3.75,473,23.65
Lomza Beer,2.95,1,500,5.5,Can,Lager,0.107,2.95,500,27.5
Lake Of Bays On the Hunt Pilsner,3.6,1,473,4.5,Can,Lager,0.169,3.6,473,21.285
Moosehead Lager,59.95,30,355,5.0,Can,Lager,0.113,1.998,10650,532.5
Miller Genuine Draft,28.95,12,355,4.7,Bottle,Lager,0.145,2.412,4260,200.22
Sapporo Premium Beer,3.65,1,500,5.0,Can,Lager,0.146,3.65,500,25.0
Publican House Our Pet Pilsner,3.65,1,473,4.5,Can,Lager,0.171,3.65,473,21.285
Old Credit Pale Pilsner,3.5,1,473,5.0,Can,Lager,0.148,3.5,473,23.65
Redneck Eatz Logger,3.25,1,473,4.7,Can,Lager,0.146,3.25,473,22.231
Molson Canadian,16.95,6,473,5.0,Can,Lager,0.119,2.825,2838,141.9
Peroni Nastro Azzurro Stile Capri,16.95,6,330,4.2,Bottle,Lager,0.204,2.825,1980,83.16
Jever Pilsener,2.75,1,500,5.0,Can,Lager,0.11,2.75,500,25.0
Henninger Lager,15.45,6,500,4.8,Can,Lager,0.107,2.575,3000,144.0
Molson Canadian,55.95,30,355,5.0,Can,Lager,0.105,1.865,10650,532.5
Landshark Lager,14.9,6,355,4.6,Bottle,Lager,0.152,2.483,2130,97.98
Mill Street Blue Wave,3.7,1,473,4.8,Can,Lager,0.163,3.7,473,22.704
Heineken,5.45,1,650,5.0,Bottle,Lager,0.168,5.45,650,32.5
Indie Ale House Marco Polo Italian Style Pilsner,3.9,1,473,5.0,Can,Lager,0.165,3.9,473,23.65
Heineken,17.5,6,330,5.0,Can,Lager,0.177,2.917,1980,99.0
Michelob Ultra,34.95,12,473,4.0,Can,Lager,0.154,2.912,5676,227.04
Holsten Festbock,2.9,1,473,7.0,Can,Lager,0.088,2.9,473,33.11
Faxe Amber,2.45,1,473,5.2,Can,Lager,0.1,2.45,473,24.596
Faxe Premium,2.45,1,473,5.0,Can,Lager,0.104,2.45,473,23.65
Faxe Extra Strong,4.1,1,473,10.0,Can,Lager,0.087,4.1,473,47.3
DAB Dark Lager,2.95,1,500,4.9,Can,Lager,0.12,2.95,500,24.5
Lost Craft Lost Light Lager,13.95,6,355,4.0,Can,Lager,0.164,2.325,2130,85.2
Kostritzer Edel Pils,2.55,1,500,4.8,Can,Lager,0.106,2.55,500,24.0
Kichesippi Beer Company Sasquatch Schnitzel,3.95,1,473,5.2,Can,Lager,0.161,3.95,473,24.596
Kingsville Brewery Light Eh! Lager,3.45,1,473,4.0,Can,Lager,0.182,3.45,473,18.92
Corona Extra,32.95,12,330,4.6,Bottle,Lager,0.181,2.746,3960,182.16
Corona Sunbrew,12.95,6,330,0.01,Bottle,Lager,65.404,2.158,1980,0.0
Kichesippi Heller Highwater,3.45,1,473,4.8,Can,Lager,0.152,3.45,473,22.704
Corona Extra,5.5,1,710,4.6,Bottle,Lager,0.168,5.5,710,32.66
Coors Original,33.95,15,355,5.0,Can,Lager,0.128,2.263,5325,266.25
Daft Brewing Cool Cool Cool Dry Hopped Pilsner,3.75,1,473,4.5,Can,Lager,0.176,3.75,473,21.285
James Ready 6.0,2.35,1,473,6.0,Can,Lager,0.083,2.35,473,28.38
Coors Light,29.85,12,473,4.0,Can,Lager,0.131,2.488,5676,227.04
Hacker Pschorr Keller Bier,2.95,1,500,5.5,Can,Lager,0.107,2.95,500,27.5
Collective Arts Lager,2.95,1,473,4.9,Can,Lager,0.127,2.95,473,23.177
Harp Lager,3.3,1,500,5.0,Can,Lager,0.132,3.3,500,25.0
Holsten Premium Pilsner,2.65,1,473,5.0,Can,Lager,0.112,2.65,473,23.65
Bud Light,29.5,12,473,4.0,Can,Lager,0.13,2.458,5676,227.04
Beau's Raspberry Pineapple Passion Fruit Refresher,3.85,1,473,4.5,Can,Lager,0.181,3.85,473,21.285
Amsterdam 3 Speed Lager,3.5,1,568,4.2,Can,Lager,0.147,3.5,568,23.856
Carlsberg Pilsner,11.95,4,473,5.0,Can,Lager,0.126,2.988,1892,94.6
Corona Extra,3.75,1,473,4.6,Can,Lager,0.172,3.75,473,21.758
Four Fathers Brewing Shevchenko 9 +,3.5,1,473,5.0,Can,Lager,0.148,3.5,473,23.65
Expedition Brewing Loch Ness Lager,3.45,1,473,5.0,Can,Lager,0.146,3.45,473,23.65
Busch Light,55.95,30,355,4.0,Can,Lager,0.131,1.865,10650,426.0
Buzz Hemp Beer,2.0,1,355,5.0,Can,Lager,0.113,2.0,355,17.75
Caledon Hills Brewing Co. Premium Lager,3.4,1,473,5.0,Can,Lager,0.144,3.4,473,23.65
Carling Ice,13.45,6,473,5.5,Can,Lager,0.086,2.242,2838,156.09
Busch,45.5,24,355,4.7,Can,Lager,0.114,1.896,8520,400.44
Bud Light Double Lime,3.2,1,473,4.0,Can,Lager,0.169,3.2,473,18.92
Bud Light,32.5,15,355,4.0,Can,Lager,0.153,2.167,5325,213.0
Coors Original,14.95,6,355,5.0,Can,Lager,0.14,2.492,2130,106.5
Coors Original,31.95,12,473,5.0,Can,Lager,0.113,2.662,5676,283.8
Budweiser,49.95,24,355,5.0,Can,Lager,0.117,2.081,8520,426.0
Bench Brewing Old School Light Lager,3.4,1,473,3.8,Can,Lager,0.189,3.4,473,17.974
Coors Light,31.5,15,355,4.0,Can,Lager,0.148,2.1,5325,213.0
Cameron's Pastime Pilsner,3.65,1,473,5.0,Can,Lager,0.154,3.65,473,23.65
Busch,25.95,12,473,4.7,Can,Lager,0.097,2.162,5676,266.772
Bud Light,58.95,30,355,4.0,Can,Lager,0.138,1.965,10650,426.0
Bud Light,14.75,6,341,4.0,Bottle,Lager,0.18,2.458,2046,81.84
Bayside Brewing Long Pond Lager,3.4,1,473,5.0,Can,Lager,0.144,3.4,473,23.65
Boxer Ice,3.25,1,710,5.5,Can,Lager,0.083,3.25,710,39.05
The Brick Brewing LandShark Lager,49.35,24,355,4.6,Bottle,Lager,0.126,2.056,8520,391.92
Storm Stayed Brewing Keets Lager,2.95,1,355,4.8,Can,Lager,0.173,2.95,355,17.04
Walkerville Purity Pilsener,3.4,1,473,5.2,Can,Lager,0.138,3.4,473,24.596
Two Water Brewing Ferry Dock Pilsner,3.35,1,473,6.4,Can,Lager,0.111,3.35,473,30.272
The Grove Brewing Corporation Paradise Lager,3.4,1,473,4.5,Can,Lager,0.16,3.4,473,21.285
Side Launch Mountain Lager,3.45,1,473,4.7,Can,Lager,0.155,3.45,473,22.231
Silversmith Brewing Helles Lager,3.45,1,473,4.2,Can,Lager,0.174,3.45,473,19.866
Shawn & Ed Brewing Co. LagerShed Original,13.95,4,473,5.2,Can,Lager,0.142,3.488,1892,98.384
Mill Street Organic Lager,30.95,12,341,4.2,Bottle,Lager,0.18,2.579,4092,171.864
Midtown Pilsner,3.6,1,473,4.2,Can,Lager,0.181,3.6,473,19.866
Miller Lite,32.95,12,473,4.0,Can,Lager,0.145,2.746,5676,227.04
Landshark Lager,51.95,24,355,4.6,Can,Lager,0.133,2.165,8520,391.92
James Ready 5.5,43.4,24,341,5.5,Bottle,Lager,0.096,1.808,8184,450.12
Coors Light,27.95,12,341,4.0,Bottle,Lager,0.171,2.329,4092,163.68
Farmer's Creed Beer Longhorn Lager,3.25,1,473,5.0,Can,Lager,0.137,3.25,473,23.65
Keystone Light,13.45,6,473,4.0,Can,Lager,0.118,2.242,2838,113.52
Farm League Hauler Lager,3.35,1,473,4.8,Can,Lager,0.148,3.35,473,22.704
Equals Brewing Shake Lager,3.25,1,473,4.5,Can,Lager,0.153,3.25,473,21.285
Coors Light,49.95,24,355,4.0,Can,Lager,0.147,2.081,8520,340.8
Bud Light,45.95,28,341,4.0,Bottle,Lager,0.12,1.641,9548,381.92
Collingwood Carnival Caribbean Style Lager,3.5,1,473,4.8,Can,Lager,0.154,3.5,473,22.704
Busch Light,31.0,15,355,4.0,Can,Lager,0.146,2.067,5325,213.0
Bud Light,45.95,24,341,4.0,Bottle,Lager,0.14,1.915,8184,327.36
Budweiser,58.95,30,355,5.0,Can,Lager,0.111,1.965,10650,532.5
